assembly_accession	species	subsp	strain
GCF_900497025.1	Pseudomonas aeruginosa		1
GCF_900618255.1	Pseudomonas aeruginosa		paerg002
GCF_900618265.1	Pseudomonas aeruginosa		paerg004
GCF_900618275.1	Pseudomonas aeruginosa		paerg003
GCF_900618285.1	Pseudomonas aeruginosa		paerg005
GCF_900618315.1	Pseudomonas aeruginosa		paerg010
GCF_900618325.1	Pseudomonas aeruginosa		paerg011
GCF_900618335.1	Pseudomonas aeruginosa		paerg012
GCF_900636735.1	Pseudomonas aeruginosa		NCTC11445
GCF_900636755.1	Pseudomonas aeruginosa		NCTC12903
GCF_900636975.1	Pseudomonas aeruginosa		NCTC13715
GCF_900637045.1	Pseudomonas aeruginosa		NCTC10728
GCF_902703185.1	Pseudomonas aeruginosa		PcyII-29
GCF_902703195.1	Pseudomonas aeruginosa		PcyII-40
GCF_902703215.1	Pseudomonas aeruginosa		C7-25
GCF_904866275.1	Pseudomonas aeruginosa		MINF_7A-sc-2280434
GCF_905071885.1	Pseudomonas aeruginosa		MINF_3A-sc-2280432
GCF_000014625.1	Pseudomonas aeruginosa		UCBPP-PA14
GCF_006974045.1	Pseudomonas aeruginosa		UCBPP-PA14
GCF_013001005.1	Pseudomonas aeruginosa		PAO1
GCF_000017205.1	Pseudomonas aeruginosa		PA7
GCF_000168335.1	Pseudomonas aeruginosa		PACS2
GCF_000026645.1	Pseudomonas aeruginosa		LESB58
GCF_900185255.1	Pseudomonas aeruginosa		C-NN2 early isolate NN2 (clone C)
GCF_000226155.1	Pseudomonas aeruginosa		M18
GCF_902172305.2	Pseudomonas aeruginosa		PAK
GCF_000284555.1	Pseudomonas aeruginosa		NCGM2.S1
GCF_000271365.1	Pseudomonas aeruginosa		DK2
GCF_001045685.1	Pseudomonas aeruginosa		DSM 50071 = NBRC 12689
GCF_000271985.2	Pseudomonas aeruginosa		SJTD-1
GCF_000496605.2	Pseudomonas aeruginosa		PA1
GCF_000359505.1	Pseudomonas aeruginosa		B136-33
GCF_900069025.1	Pseudomonas aeruginosa		DK1 substr. NH57388A
GCF_000473745.2	Pseudomonas aeruginosa		VRFPA04
GCF_000583935.1	Pseudomonas aeruginosa		LES400
GCF_000508765.1	Pseudomonas aeruginosa		LES431
GCF_000583955.1	Pseudomonas aeruginosa		LESB65
GCF_000583975.1	Pseudomonas aeruginosa		LESlike1
GCF_000583995.1	Pseudomonas aeruginosa		LESlike4
GCF_000583895.1	Pseudomonas aeruginosa		LESlike5
GCF_000583915.1	Pseudomonas aeruginosa		LESlike7
GCF_000496455.2	Pseudomonas aeruginosa		DHS01 DH01
GCF_000504045.1	Pseudomonas aeruginosa		MTB-1
GCF_000510305.1	Pseudomonas aeruginosa		SCV20265
GCF_000524595.1	Pseudomonas aeruginosa		YL84
GCF_000626655.2	Pseudomonas aeruginosa		PA96
