assembly_accession	species	subsp	strain
GCF_003957455.1	Klebsiella pneumoniae		TOP52_1721_U1
GCF_003963495.1	Klebsiella pneumoniae		T4
GCF_004006035.1	Klebsiella pneumoniae		NB5306
GCF_004010995.1	Klebsiella pneumoniae		08EU827
GCF_004014965.1	Klebsiella pneumoniae		L5-2
GCF_004118955.1	Klebsiella pneumoniae		AP8555
GCF_004119955.1	Klebsiella pneumoniae		F5
GCF_004119975.1	Klebsiella pneumoniae		F77
GCF_004119995.1	Klebsiella pneumoniae		F127
GCF_004120035.1	Klebsiella pneumoniae		F93-1
GCF_004120055.1	Klebsiella pneumoniae		F13
GCF_004120075.1	Klebsiella pneumoniae		F132
GCF_004120095.1	Klebsiella pneumoniae		F138
GCF_004120115.1	Klebsiella pneumoniae		B12(AN)
GCF_004120135.1	Klebsiella pneumoniae		F89-1
GCF_004120155.1	Klebsiella pneumoniae		F81
GCF_004120175.1	Klebsiella pneumoniae		F93-2
GCF_004135795.1	Klebsiella pneumoniae		NH34
GCF_004137665.1	Klebsiella pneumoniae		NFYY0065
GCF_004295385.1	Klebsiella pneumoniae		BA1559
GCF_004295405.1	Klebsiella pneumoniae		BA34918
GCF_004295605.1	Klebsiella pneumoniae		B31
GCF_004319525.1	Klebsiella pneumoniae		BP327
GCF_004322795.1	Klebsiella pneumoniae		WCHKP115068
GCF_004322955.1	Klebsiella pneumoniae		ABFPV
GCF_004322995.1	Klebsiella pneumoniae		ABFQB
GCF_004332075.1	Klebsiella pneumoniae		18CPO060
GCF_004801235.1	Klebsiella pneumoniae		121
GCF_004924315.1	Klebsiella pneumoniae		ST23
GCF_005239265.1	Klebsiella pneumoniae		R1701
GCF_005239285.1	Klebsiella pneumoniae		R1761
GCF_005347525.1	Klebsiella pneumoniae		CRKP I
GCF_005853785.1	Klebsiella pneumoniae		CR-HvKP1
GCF_005854025.1	Klebsiella pneumoniae		CR-HvKP5
GCF_005854245.1	Klebsiella pneumoniae		CR-HvKP4
GCF_005944305.1	Klebsiella pneumoniae		KpvST147B_SE1_1_NDM
GCF_006304565.1	Klebsiella pneumoniae		XJ-K1
GCF_006364295.1	Klebsiella pneumoniae		FDAARGOS_775
GCF_006459145.1	Klebsiella pneumoniae		Kp202
